2024-04-06; 16:14:07.741133; b'[22] PING\n'; 2024-04-06; 16:14:10.634595; KeepAlive;
2024-04-06; 16:14:10.636596; b'[22] PING\n'; 2024-04-06; 16:14:10.636596; [20/22] PONG (1);
2024-04-06; 16:14:10.636596; b'[22] PING\n'; 2024-04-06; 16:14:13.324791; KeepAlive;
2024-04-06; 16:14:13.326791; b'[23] PING\n'; 2024-04-06; 16:14:13.326791; [20/23] PONG (0);
2024-04-06; 16:14:13.326791; b'[23] PING\n'; 2024-04-06; проигнорировано; проигнорировано;
2024-04-06; 16:14:13.326791; b'[23] PING\n'; 2024-04-06; 16:14:15.894367; KeepAlive;
2024-04-06; 16:14:15.896372; b'[23] PING\n'; 2024-04-06; 16:14:15.897374; [21/23] PONG (1);
2024-04-06; 16:14:18.562686; b'[24] PING\n'; 2024-04-06; 16:14:15.897374; [21/23] PONG (1);
2024-04-06; 16:14:18.562686; b'[24] PING\n'; 2024-04-06; 16:14:21.530423; KeepAlive;
2024-04-06; 16:14:21.532426; b'[24] PING\n'; 2024-04-06; 16:14:21.532426; [21/24] PONG (1);
2024-04-06; 16:14:21.532426; b'[24] PING\n'; 2024-04-06; проигнорировано; проигнорировано;
2024-04-06; 16:14:21.532426; b'[24] PING\n'; 2024-04-06; 16:14:23.748653; KeepAlive;
2024-04-06; 16:14:23.749656; b'[25] PING\n'; 2024-04-06; 16:14:23.749656; [22/25] PONG (0);
2024-04-06; 16:14:27.260215; b'[25] PING\n'; 2024-04-06; 16:14:23.749656; [22/25] PONG (0);
2024-04-06; 16:14:27.260215; b'[25] PING\n'; 2024-04-06; проигнорировано; проигнорировано;
2024-04-06; 16:14:27.260215; b'[25] PING\n'; 2024-04-06; 16:14:29.497213; KeepAlive;
2024-04-06; 16:14:29.499217; b'[26] PING\n'; 2024-04-06; 16:14:29.499217; [22/26] PONG (0);
2024-04-06; 16:14:32.715225; b'[26] PING\n'; 2024-04-06; 16:14:29.499217; [22/26] PONG (0);
2024-04-06; 16:14:32.715225; b'[26] PING\n'; 2024-04-06; 16:14:34.758247; KeepAlive;
2024-04-06; 16:14:34.759242; b'[27] PING\n'; 2024-04-06; 16:14:34.759242; [22/27] PONG (0);
2024-04-06; 16:14:34.759242; b'[27] PING\n'; 2024-04-06; 16:14:38.252586; KeepAlive;
2024-04-06; 16:14:38.253586; b'[27] PING\n'; 2024-04-06; 16:14:38.253586; [24/27] PONG (1);
2024-04-06; 16:14:38.253586; b'[27] PING\n'; 2024-04-06; 16:14:40.457524; KeepAlive;
2024-04-06; 16:14:40.459525; b'[28] PING\n'; 2024-04-06; 16:14:40.459525; [23/28] PONG (0);
2024-04-06; 16:14:40.459525; b'[28] PING\n'; 2024-04-06; 16:14:43.940744; KeepAlive;
2024-04-06; 16:14:43.942746; b'[28] PING\n'; 2024-04-06; 16:14:43.942746; [25/28] PONG (1);
2024-04-06; 16:14:43.942746; b'[28] PING\n'; 2024-04-06; 16:14:45.994408; KeepAlive;
2024-04-06; 16:14:45.996410; b'[29] PING\n'; 2024-04-06; 16:14:45.996410; [24/29] PONG (0);
2024-04-06; 16:14:45.996410; b'[29] PING\n'; 2024-04-06; 16:14:49.272411; KeepAlive;
2024-04-06; 16:14:49.273413; b'[29] PING\n'; 2024-04-06; 16:14:49.273413; [26/29] PONG (1);
2024-04-06; 16:14:49.273413; b'[29] PING\n'; 2024-04-06; 16:14:51.680901; KeepAlive;
2024-04-06; 16:14:51.681903; b'[30] PING\n'; 2024-04-06; 16:14:51.682904; [25/30] PONG (0);
2024-04-06; 16:14:51.681903; b'[30] PING\n'; 2024-04-06; 16:14:54.826735; KeepAlive;
2024-04-06; 16:14:54.827737; b'[30] PING\n'; 2024-04-06; 16:14:54.827737; [27/30] PONG (1);
2024-04-06; 16:14:54.827737; b'[30] PING\n'; 2024-04-06; проигнорировано; проигнорировано;
2024-04-06; 16:14:54.827737; b'[30] PING\n'; 2024-04-06; 16:14:57.517480; KeepAlive;
2024-04-06; 16:14:57.519480; b'[31] PING\n'; 2024-04-06; 16:14:57.519480; [26/31] PONG (0);
2024-04-06; 16:15:00.037298; b'[31] PING\n'; 2024-04-06; 16:14:57.519480; [26/31] PONG (0);
2024-04-06; 16:15:00.037298; b'[31] PING\n'; 2024-04-06; 16:15:03.279146; KeepAlive;
2024-04-06; 16:15:03.281145; b'[32] PING\n'; 2024-04-06; 16:15:03.281145; [26/32] PONG (0);
2024-04-06; 16:15:03.281145; b'[32] PING\n'; 2024-04-06; 16:15:05.377898; KeepAlive;
2024-04-06; 16:15:05.379898; b'[32] PING\n'; 2024-04-06; 16:15:05.379898; [29/32] PONG (1);
